,year,artist,track,time
80,2000,"Dixie Chicks, The",Cold Day In July,5:12
81,2000,"Dixie Chicks, The",Cowboy Take Me Away,4:51
82,2000,"Dixie Chicks, The",Goodbye Earl,4:19
83,2000,"Dixie Chicks, The",Without You,3:32
84,2000,Dr. Dre,Forgot About Dre,3:42
85,2000,Dr. Dre,The Next Episode,2:38
86,2000,Drama,"Left, Right, Left",3:37
87,2000,Dream,He Loves U Not,3:43
88,2000,"Eastsidaz, The",G'D Up,4:27
89,2000,"Eastsidaz, The",Got Beef,3:58
90,2000,Eiffel 65,Blue,3:29
91,2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51
92,2000,Eminem,Stan,5:26
93,2000,Eminem,The Real Slim Shady,4:42
94,2000,Eminem,The Way I Am,4:40
95,2000,En Vogue,Riddle,5:10
96,2000,"Estefan, Gloria",No Me Dejes De Quere...,3:25
97,2000,"Evans, Sara",Born To Fly,5:36
98,2000,Eve,Got It All,3:48
99,2000,Eve,Love Is Blind,3:51
100,2000,Everclear,Wonderful,4:30
101,2000,"Fabian, Lara",I Will Love Again,3:43
102,2000,Fatboy Slim,The Rockafeller Skan...,4:00
103,2000,Filter,Take A Picture,4:23
104,2000,Foo Fighters,Learn To Fly,3:55
105,2000,Fragma,Toca's Miracle,3:22
106,2000,Funkmaster Flex,Do You,4:14
107,2000,Ghostface Killah,Cherchez LaGhost,3:04
108,2000,"Gill, Vince",Feels Like Love,4:13
109,2000,"Gilman, Billy",One Voice,4:07
110,2000,Ginuwine,None Of Ur Friends B...,4:12
111,2000,Ginuwine,The Best Man I Can B...,4:06
112,2000,Goo Goo Dolls,Broadway,3:54
113,2000,"Gray, Macy",I Try,3:52
114,2000,"Griggs, Andy",She's More,3:19
115,2000,Guy,Dancin',4:08
116,2000,Hanson,This Time Around,4:14
117,2000,"Hart, Beth",L.A. Song,3:47
118,2000,"Heatherly, Eric",Flowers On The Wall,3:16
119,2000,"Henley, Don",Taking You Home,4:08
120,2000,"Herndon, Ty",No Mercy,4:43
121,2000,"Hill, Faith",Breathe,4:04
122,2000,"Hill, Faith",Let's Make Love,4:11
123,2000,Hoku,Another Dumb Blonde,3:47
124,2000,"Hollister, Dave",Can't Stay,6:17
125,2000,Hot Boys,I Need A Hot Girl,4:16
126,2000,"Houston, Whitney",Could I Have This Ki...,3:54
127,2000,"Houston, Whitney",I Learned From The B...,4:18
128,2000,"Houston, Whitney",My Love Is Your Love,4:16
129,2000,"Houston, Whitney","Same Script, Differe...",4:45
130,2000,IMx,Stay The Night,3:37
131,2000,Ice Cube,You Can Do It,4:20
132,2000,Ideal,Whatever,3:48
133,2000,"Iglesias, Enrique",Be With You,3:36
134,2000,"Iglesias, Enrique",Rhythm Divine,7:35
135,2000,J-Shin,One Night Stand,4:34
136,2000,Ja Rule,Between Me And You,4:05
137,2000,"Jackson, Alan",It Must Be Love,2:53
138,2000,"Jackson, Alan",Pop A Top,3:04
139,2000,"Jackson, Alan",www.memory,2:36
140,2000,Jagged Edge,He Can't Love U,3:30
141,2000,Jagged Edge,Let's Get Married,4:23
142,2000,Janet,Doesn't Really Matte...,4:17
143,2000,Jay-Z,Anything,3:41
144,2000,Jay-Z,Big Pimpin',3:55
145,2000,Jay-Z,Do It Again (Put Ya ...,3:47
146,2000,Jay-Z,Hey Papi,3:40
147,2000,Jay-Z,I Just Wanna Love U ...,3:50
148,2000,"Jean, Wyclef",911,4:00
149,2000,Joe,I Wanna Know,4:57
150,2000,Joe,Treat Her Like A Lad...,4:12
151,2000,"John, Elton",Someday Out Of The B...,4:41
152,2000,"Jones, Donell",Where I Wanna Be,6:22
153,2000,"Jordan, Montell",Get It On.. Tonite,4:34
154,2000,Juvenile,U Understand,3:51
155,2000,Kandi,Don't Think I'm Not,3:50
156,2000,"Keith, Toby",Country Comes To Tow...,3:39
157,2000,"Keith, Toby",How Do You Like Me N...,3:29
158,2000,Kelis,Caught Out There,4:09
159,2000,Kenny G,Auld Lang Syne (The ...,7:50
160,2000,Kid Rock,Only God Knows Why,5:27
161,2000,"Kravitz, Lenny",I Belong To You,4:17
162,2000,Kumbia Kings,U Don't Love Me,3:50
163,2000,LFO,I Don't Wanna Kiss Y...,5:00
164,2000,LFO,West Side Story,3:27
165,2000,LL Cool J,Imagine That,4:00
166,2000,"Larrieux, Amel",Get Up,4:02
167,2000,"Lawrence, Tracy",Lessons Learned,2:55
168,2000,"Levert, Gerald",Baby U Are,4:10
169,2000,"Levert, Gerald",Mr. Too Damn Good,4:06
170,2000,Lil Bow Wow,Bounce With Me,3:22
171,2000,Lil Wayne,Tha Block Is Hot,4:13
172,2000,Lil' Kim,How Many Licks?,3:50
173,2000,Lil' Kim,No Matter What They ...,4:12
174,2000,Lil' Mo,Ta Da,4:17
175,2000,Lil' Zane,Callin' Me,3:43
176,2000,Limp Bizkit,N 2 Gether Now,3:55
177,2000,Limp Bizkit,Re-Arranged,4:08
178,2000,Limp Bizkit,Rollin',4:04
179,2000,Lonestar,Amazed,4:25
180,2000,Lonestar,Smile,3:33
181,2000,Lonestar,What About Now,3:30
182,2000,"Lopez, Jennifer",Feelin' Good,4:28
183,2000,"Loveless, Patty",That's The Kind Of M...,3:27
184,2000,Lox,"Ryde or Die, Chick",3:56
185,2000,Lucy Pearl,Dance Tonight,3:45
186,2000,Ludacris,What's Your Fantasy,4:16
187,2000,M2M,Don't Say You Love M...,3:41
188,2000,M2M,Mirror Mirror,3:19
189,2000,Madison Avenue,Don't Call Me Baby,3:44
190,2000,Madonna,American Pie,4:30
191,2000,Madonna,Music,3:45
192,2000,"Martin, Ricky",Private Emotion,4:02
193,2000,"Martin, Ricky",Shake Your Bon-Bon,3:08
194,2000,"Martin, Ricky",She Bangs,4:02
195,2000,Mary Mary,Shackles (Praise You...,3:12
196,2000,Master P,Souljas,3:33
197,2000,"McBride, Martina",Love's The Only Hous...,5:13
198,2000,"McBride, Martina",There You Are,3:26
199,2000,"McEntire, Reba",I'll Be,4:23
200,2000,"McEntire, Reba",What Do You Say,3:26
201,2000,"McGraw, Tim",My Best Friend,4:33
202,2000,"McGraw, Tim",My Next Thirty Years,3:37
203,2000,"McGraw, Tim",Some Things Never Ch...,3:56
204,2000,"McKnight, Brian",Stay Or Let It Go,4:32
205,2000,"Messina, Jo Dee",Because You Love Me,3:50
206,2000,"Messina, Jo Dee",That's The Way,3:17
207,2000,Metallica,I Disappear,4:26
208,2000,Metallica,No Leaf Clover (Live...,5:43
209,2000,Montgomery Gentry,Daddy Won't Sell The...,4:18
210,2000,"Montgomery, John Michael",The Little Girl,3:52
211,2000,"Moore, Chante",Straight Up,3:40
212,2000,"Moore, Mandy",I Wanna Be With You,4:12
213,2000,"Mumba, Samantha",Gotta Tell You,3:19
214,2000,Musiq,Just Friends,4:02
215,2000,Mya,Case Of The Ex (What...,3:50
216,2000,Mya,The Best Of Me,4:12
217,2000,Mystikal,Shake Ya Ass,4:46
218,2000,N'Sync,Bye Bye Bye,3:15
219,2000,N'Sync,It's Gonna Be Me,3:10
220,2000,N'Sync,This I Promise You,4:23
221,2000,Nas,You Owe Me,3:51
222,2000,Nelly,(Hot S**t) Country G...,4:17
223,2000,Next,Wifey,4:03
224,2000,Nine Days,Absolutely (Story Of...,3:09
225,2000,Nine Days,If I Am,4:18
226,2000,No Doubt,Simple Kind Of Life,4:11
227,2000,Nu Flavor,3 Little Words,3:54
228,2000,"Offspring, The",Original Prankster,3:42
229,2000,"Paisley, Brad",Me Neither,3:19
230,2000,"Paisley, Brad",We Danced,3:45
231,2000,Papa Roach,Last Resort,3:19
232,2000,Pearl Jam,Nothing As It Seems,5:20
233,2000,Pink,Most Girls,4:06
234,2000,Pink,There U Go,3:23
235,2000,"Price, Kelly",As We Lay,6:20
236,2000,"Price, Kelly",Love Sets You Free,3:46
237,2000,"Price, Kelly",You Should've Told M...,3:12
238,2000,Profyle,Liar,3:57
239,2000,Puff Daddy,Best Friend,5:33
240,2000,Q-Tip,Breathe And Stop,4:06
241,2000,R.E.M.,The Great Beyond,4:10
242,2000,Rascal Flatts,Prayin' For Daylight,3:36
243,2000,"Raye, Collin",Couldn't Last A Mome...,3:40
244,2000,Red Hot Chili Peppers,Californication,5:21
245,2000,Red Hot Chili Peppers,Otherside,4:13
246,2000,"Rimes, LeAnn",Big Deal,3:03
247,2000,"Rimes, LeAnn",Can't Fight The Moon...,3:33
248,2000,"Rimes, LeAnn",I Need You,3:42
249,2000,"Rogers, Kenny",Buy Me A Rose,3:46
250,2000,Ruff Endz,No More,3:56
251,2000,Sammie,I Like It,4:09
252,2000,Santana,"Maria, Maria",4:18
253,2000,Savage Garden,Crash And Burn,4:41
254,2000,Savage Garden,I Knew I Loved You,4:07
255,2000,SheDaisy,Deck The Halls,3:46
256,2000,SheDaisy,I Will.. But,3:40
257,2000,SheDaisy,This Woman Needs,3:20
258,2000,"Sheist, Shade",Where I Wanna Be,4:16
259,2000,Shyne,Bad Boyz,4:22
260,2000,"Simpson, Jessica",I Think I'm In Love ...,3:32
261,2000,"Simpson, Jessica",Where You Are,3:51
262,2000,Sisqo,Got To Get It,3:52
263,2000,Sisqo,Incomplete,3:52
264,2000,Sisqo,Thong Song,4:05
265,2000,Sister Hazel,Change Your Mind,4:02
266,2000,Smash Mouth,Then The Morning Com...,3:04
267,2000,"Smith, Will",Freakin' It,3:58
268,2000,Son By Four,A Puro Dolor (Purest...,3:30
269,2000,Sonique,It Feels So Good,3:48
270,2000,SoulDecision,Faded,3:25
271,2000,"Spears, Britney",From The Bottom Of M...,4:30
272,2000,"Spears, Britney",Lucky,3:23
273,2000,"Spears, Britney",Oops!.. I Did It Aga...,3:30
274,2000,"Spencer, Tracie",Still In My Heart,4:11
275,2000,Splender,I Think God Can Expl...,3:55
276,2000,Sting,Desert Rose,3:52
277,2000,Stone Temple Pilots,Sour Girl,4:16
278,2000,"Stone, Angie",No More Rain (In Thi...,4:42
279,2000,"Strait, George",Go On,3:48
280,2000,"Strait, George",The Best Day,3:24
281,2000,Sugar Ray,Falls Apart,4:15
282,2000,TLC,Dear Lie,4:36
283,2000,Tamar,If You Don't Wanna L...,4:02
284,2000,Tamia,Can't Go For That,3:38
285,2000,Third Eye Blind,Deep Inside Of You,4:10
286,2000,Third Eye Blind,Never Let You Go,3:57
287,2000,"Thomas, Carl",Emotional,4:31
288,2000,"Thomas, Carl",I Wish,3:50
289,2000,"Thomas, Carl",Summer Rain,4:57
290,2000,"Tippin, Aaron",Kiss This,2:53
291,2000,Train,Meet Virginia,3:55
292,2000,Trick Daddy,Shut Up,4:17
293,2000,Trina,Pull Over,2:58
294,2000,"Tritt, Travis",Best Of Intentions,4:15
295,2000,Tuesday,I Know,4:06
296,2000,"Urban, Keith",Your Everything,4:10
297,2000,Usher,Pop Ya Collar,3:36
298,2000,"Vassar, Phil",Carlene,4:07
299,2000,"Vassar, Phil",Just Another Day In ...,3:54
300,2000,Vertical Horizon,Everything You Want,4:01
301,2000,Vertical Horizon,You're A God,3:45
302,2000,Vitamin C,Graduation (Friends ...,4:23
303,2000,Vitamin C,The Itch,3:30
304,2000,"Walker, Clay","Live, Laugh, Love",4:06
305,2000,"Walker, Clay",The Chain Of Love,5:03
306,2000,"Wallflowers, The",Sleepwalker,3:29
307,2000,Westlife,Swear It Again,4:07
308,2000,"Williams, Robbie",Angels,3:56
309,2000,"Wills, Mark",Back At One,4:00
310,2000,"Worley, Darryl",When You Need My Lov...,3:35
311,2000,"Wright, Chely",It Was,3:51
312,2000,Yankee Grey,Another Nine Minutes,3:10
313,2000,"Yearwood, Trisha",Real Live Woman,3:55
314,2000,Ying Yang Twins,Whistle While You Tw...,4:19
315,2000,Zombie Nation,Kernkraft 400,3:30
316,2000,matchbox twenty,Bent,4:12
317,2000,2 Pac,Baby Don't Cry (Keep...,4:22
318,2000,2Ge+her,The Hardest Part Of ...,3:15
319,2000,3 Doors Down,Kryptonite,3:53
320,2000,3 Doors Down,Loser,4:24
321,2000,504 Boyz,Wobble Wobble,3:35
322,2000,98^0,Give Me Just One Nig...,3:24
323,2000,A*Teens,Dancing Queen,3:44
324,2000,Aaliyah,I Don't Wanna,4:15
325,2000,Aaliyah,Try Again,4:03
326,2000,"Adams, Yolanda",Open My Heart,5:30
327,2000,"Adkins, Trace",More,3:05
328,2000,"Aguilera, Christina",Come On Over Baby (A...,3:38
329,2000,"Aguilera, Christina",I Turn To You,4:00
330,2000,"Aguilera, Christina",What A Girl Wants,3:18
331,2000,Alice Deejay,Better Off Alone,6:50
332,2000,"Allan, Gary",Smoke Rings In The D...,4:18
333,2000,Amber,Sexual,4:38
334,2000,Anastacia,I'm Outta Love,4:01
335,2000,"Anthony, Marc",My Baby You,3:59
336,2000,"Anthony, Marc",You Sang To Me,3:50
337,2000,Avant,My First Love,4:28
338,2000,Avant,Separated,4:13
339,2000,BBMak,Back Here,3:35
340,2000,"Backstreet Boys, The",Shape Of My Heart,3:49
341,2000,"Backstreet Boys, The",Show Me The Meaning ...,3:54
342,2000,"Backstreet Boys, The",The One,3:46
343,2000,"Badu, Erkyah",Bag Lady,5:03
344,2000,Baha Men,Who Let The Dogs Out,3:17
345,2000,Barenaked Ladies,Pinch Me,3:46
346,2000,Beenie Man,Girls Dem Sugar,4:17
347,2000,Before Dark,Monica,4:04
348,2000,"Bega, Lou",Tricky Tricky ,3:23
349,2000,Big Punisher,It's So Hard,3:25
350,2000,Black Rob,Whoa!,4:04
351,2000,"Black, Clint",Been There,5:28
352,2000,Blaque,Bring It All To Me,3:46
353,2000,"Blige, Mary J.",Deep Inside,5:26
354,2000,"Blige, Mary J.",Give Me You,5:00
355,2000,Blink-182,All The Small Things,2:52
356,2000,Bloodhound Gang,The Bad Touch,4:20
357,2000,Bon Jovi,It's My Life,3:44
358,2000,"Braxton, Toni",He Wasn't Man Enough,4:21
359,2000,"Braxton, Toni",Just Be A Man About ...,4:10
360,2000,"Braxton, Toni",Spanish Guitar,4:24
361,2000,"Brock, Chad",A Country Boy Can Su...,3:54
362,2000,"Brock, Chad",Yes!,3:22
363,2000,Brooks & Dunn,You'll Always Be Lov...,2:58
364,2000,"Brooks, Garth",Do What You Gotta Do,2:56
365,2000,"Byrd, Tracy",Put Your Hand In Min...,4:30
366,2000,"Cagle, Chris",My Love Goes On And ...,3:02
367,2000,Cam'ron,What Means The World...,4:38
368,2000,"Carey, Mariah",Crybaby,5:19
369,2000,"Carey, Mariah",Thank God I Found Yo...,4:14
370,2000,"Carter, Aaron",Aaron's Party (Come ...,3:23
371,2000,"Carter, Torrey",Take That,3:43
372,2000,Changing Faces,That Other Woman,4:00
373,2000,"Chesney, Kenny",I Lost It,3:54
374,2000,"Chesney, Kenny",What I Need To Do,4:05
375,2000,Clark Family Experience,Meanwhile Back At Th...,2:56
376,2000,"Clark, Terri",A Little Gasoline,3:07
377,2000,Common,The Light,3:55
378,2000,Counting Crows,Hanginaround,4:07
379,2000,Creed,Higher,5:16
380,2000,Creed,With Arms Wide Open,3:52
381,2000,"Cyrus, Billy Ray",You Won't Be Lonely ...,3:45
382,2000,D'Angelo,Left & Right,4:35
383,2000,D'Angelo,Untitled (How Does I...,7:10
384,2000,DMX,Party Up (Up In Here...,3:45
385,2000,DMX,What You Want,4:05
386,2000,DMX,What's My Name,3:50
387,2000,Da Brat,That's What I'm Look...,3:44
388,2000,Da Brat,What'Chu Like,3:57
389,2000,"Davidson, Clay",Unconditional,3:56
390,2000,De La Soul,All Good?,5:02
391,2000,Destiny's Child,Independent Women Pa...,3:38
392,2000,Destiny's Child,Jumpin' Jumpin',3:48
393,2000,Destiny's Child,Say My Name,4:31
394,2000,"Diffie, Joe",It's Always Somethin...,2:55
395,2000,"Diffie, Joe",The Quittin' Kind,3:23
396,2000,"Dion, Celine",That's The Way It Is,4:03
397,2000,"Dixie Chicks, The",Cold Day In July,5:12
398,2000,"Dixie Chicks, The",Cowboy Take Me Away,4:51
399,2000,"Dixie Chicks, The",Goodbye Earl,4:19
400,2000,"Dixie Chicks, The",Without You,3:32
401,2000,Dr. Dre,Forgot About Dre,3:42
402,2000,Dr. Dre,The Next Episode,2:38
403,2000,Drama,"Left, Right, Left",3:37
404,2000,Dream,He Loves U Not,3:43
405,2000,"Eastsidaz, The",G'D Up,4:27
406,2000,"Eastsidaz, The",Got Beef,3:58
407,2000,Eiffel 65,Blue,3:29
408,2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51
409,2000,Eminem,Stan,5:26
410,2000,Eminem,The Real Slim Shady,4:42
411,2000,Eminem,The Way I Am,4:40
412,2000,En Vogue,Riddle,5:10
413,2000,"Estefan, Gloria",No Me Dejes De Quere...,3:25
414,2000,"Evans, Sara",Born To Fly,5:36
415,2000,Eve,Got It All,3:48
416,2000,Eve,Love Is Blind,3:51
417,2000,Everclear,Wonderful,4:30
418,2000,"Fabian, Lara",I Will Love Again,3:43
419,2000,Fatboy Slim,The Rockafeller Skan...,4:00
420,2000,Filter,Take A Picture,4:23
421,2000,Foo Fighters,Learn To Fly,3:55
422,2000,Fragma,Toca's Miracle,3:22
423,2000,Funkmaster Flex,Do You,4:14
424,2000,Ghostface Killah,Cherchez LaGhost,3:04
425,2000,"Gill, Vince",Feels Like Love,4:13
426,2000,"Gilman, Billy",One Voice,4:07
427,2000,Ginuwine,None Of Ur Friends B...,4:12
428,2000,Ginuwine,The Best Man I Can B...,4:06
429,2000,Goo Goo Dolls,Broadway,3:54
430,2000,"Gray, Macy",I Try,3:52
431,2000,"Griggs, Andy",She's More,3:19
432,2000,Guy,Dancin',4:08
433,2000,Hanson,This Time Around,4:14
434,2000,"Hart, Beth",L.A. Song,3:47
435,2000,"Heatherly, Eric",Flowers On The Wall,3:16
436,2000,"Henley, Don",Taking You Home,4:08
437,2000,"Herndon, Ty",No Mercy,4:43
438,2000,"Hill, Faith",Breathe,4:04
439,2000,"Hill, Faith",Let's Make Love,4:11
440,2000,Hoku,Another Dumb Blonde,3:47
441,2000,"Hollister, Dave",Can't Stay,6:17
442,2000,Hot Boys,I Need A Hot Girl,4:16
443,2000,"Houston, Whitney",Could I Have This Ki...,3:54
444,2000,"Houston, Whitney",I Learned From The B...,4:18
445,2000,"Houston, Whitney",My Love Is Your Love,4:16
446,2000,"Houston, Whitney","Same Script, Differe...",4:45
447,2000,IMx,Stay The Night,3:37
448,2000,Ice Cube,You Can Do It,4:20
449,2000,Ideal,Whatever,3:48
450,2000,"Iglesias, Enrique",Be With You,3:36
451,2000,"Iglesias, Enrique",Rhythm Divine,7:35
452,2000,J-Shin,One Night Stand,4:34
453,2000,Ja Rule,Between Me And You,4:05
454,2000,"Jackson, Alan",It Must Be Love,2:53
455,2000,"Jackson, Alan",Pop A Top,3:04
456,2000,"Jackson, Alan",www.memory,2:36
457,2000,Jagged Edge,He Can't Love U,3:30
458,2000,Jagged Edge,Let's Get Married,4:23
459,2000,Janet,Doesn't Really Matte...,4:17
460,2000,Jay-Z,Anything,3:41
461,2000,Jay-Z,Big Pimpin',3:55
462,2000,Jay-Z,Do It Again (Put Ya ...,3:47
463,2000,Jay-Z,Hey Papi,3:40
464,2000,Jay-Z,I Just Wanna Love U ...,3:50
465,2000,"Jean, Wyclef",911,4:00
466,2000,Joe,I Wanna Know,4:57
467,2000,Joe,Treat Her Like A Lad...,4:12
468,2000,"John, Elton",Someday Out Of The B...,4:41
469,2000,"Jones, Donell",Where I Wanna Be,6:22
470,2000,"Jordan, Montell",Get It On.. Tonite,4:34
471,2000,Juvenile,U Understand,3:51
472,2000,Kandi,Don't Think I'm Not,3:50
473,2000,"Keith, Toby",Country Comes To Tow...,3:39
474,2000,"Keith, Toby",How Do You Like Me N...,3:29
475,2000,Kelis,Caught Out There,4:09
476,2000,Kenny G,Auld Lang Syne (The ...,7:50
477,2000,Kid Rock,Only God Knows Why,5:27
478,2000,"Kravitz, Lenny",I Belong To You,4:17
479,2000,Kumbia Kings,U Don't Love Me,3:50
480,2000,LFO,I Don't Wanna Kiss Y...,5:00
481,2000,LFO,West Side Story,3:27
482,2000,LL Cool J,Imagine That,4:00
483,2000,"Larrieux, Amel",Get Up,4:02
484,2000,"Lawrence, Tracy",Lessons Learned,2:55
485,2000,"Levert, Gerald",Baby U Are,4:10
486,2000,"Levert, Gerald",Mr. Too Damn Good,4:06
487,2000,Lil Bow Wow,Bounce With Me,3:22
488,2000,Lil Wayne,Tha Block Is Hot,4:13
489,2000,Lil' Kim,How Many Licks?,3:50
490,2000,Lil' Kim,No Matter What They ...,4:12
491,2000,Lil' Mo,Ta Da,4:17
492,2000,Lil' Zane,Callin' Me,3:43
493,2000,Limp Bizkit,N 2 Gether Now,3:55
494,2000,Limp Bizkit,Re-Arranged,4:08
495,2000,Limp Bizkit,Rollin',4:04
496,2000,Lonestar,Amazed,4:25
497,2000,Lonestar,Smile,3:33
498,2000,Lonestar,What About Now,3:30
499,2000,"Lopez, Jennifer",Feelin' Good,4:28
500,2000,"Loveless, Patty",That's The Kind Of M...,3:27
501,2000,Lox,"Ryde or Die, Chick",3:56
502,2000,Lucy Pearl,Dance Tonight,3:45
503,2000,Ludacris,What's Your Fantasy,4:16
504,2000,M2M,Don't Say You Love M...,3:41
505,2000,M2M,Mirror Mirror,3:19
506,2000,Madison Avenue,Don't Call Me Baby,3:44
507,2000,Madonna,American Pie,4:30
508,2000,Madonna,Music,3:45
509,2000,"Martin, Ricky",Private Emotion,4:02
510,2000,"Martin, Ricky",Shake Your Bon-Bon,3:08
511,2000,"Martin, Ricky",She Bangs,4:02
512,2000,Mary Mary,Shackles (Praise You...,3:12
513,2000,Master P,Souljas,3:33
514,2000,"McBride, Martina",Love's The Only Hous...,5:13
515,2000,"McBride, Martina",There You Are,3:26
516,2000,"McEntire, Reba",I'll Be,4:23
517,2000,"McEntire, Reba",What Do You Say,3:26
518,2000,"McGraw, Tim",My Best Friend,4:33
519,2000,"McGraw, Tim",My Next Thirty Years,3:37
520,2000,"McGraw, Tim",Some Things Never Ch...,3:56
521,2000,"McKnight, Brian",Stay Or Let It Go,4:32
522,2000,"Messina, Jo Dee",Because You Love Me,3:50
523,2000,"Messina, Jo Dee",That's The Way,3:17
524,2000,Metallica,I Disappear,4:26
525,2000,Metallica,No Leaf Clover (Live...,5:43
526,2000,Montgomery Gentry,Daddy Won't Sell The...,4:18
527,2000,"Montgomery, John Michael",The Little Girl,3:52
528,2000,"Moore, Chante",Straight Up,3:40
529,2000,"Moore, Mandy",I Wanna Be With You,4:12
530,2000,"Mumba, Samantha",Gotta Tell You,3:19
531,2000,Musiq,Just Friends,4:02
532,2000,Mya,Case Of The Ex (What...,3:50
533,2000,Mya,The Best Of Me,4:12
534,2000,Mystikal,Shake Ya Ass,4:46
535,2000,N'Sync,Bye Bye Bye,3:15
536,2000,N'Sync,It's Gonna Be Me,3:10
537,2000,N'Sync,This I Promise You,4:23
538,2000,Nas,You Owe Me,3:51
539,2000,Nelly,(Hot S**t) Country G...,4:17
540,2000,Next,Wifey,4:03
541,2000,Nine Days,Absolutely (Story Of...,3:09
542,2000,Nine Days,If I Am,4:18
543,2000,No Doubt,Simple Kind Of Life,4:11
544,2000,Nu Flavor,3 Little Words,3:54
545,2000,"Offspring, The",Original Prankster,3:42
546,2000,"Paisley, Brad",Me Neither,3:19
547,2000,"Paisley, Brad",We Danced,3:45
548,2000,Papa Roach,Last Resort,3:19
549,2000,Pearl Jam,Nothing As It Seems,5:20
550,2000,Pink,Most Girls,4:06
551,2000,Pink,There U Go,3:23
552,2000,"Price, Kelly",As We Lay,6:20
553,2000,"Price, Kelly",Love Sets You Free,3:46
554,2000,"Price, Kelly",You Should've Told M...,3:12
555,2000,Profyle,Liar,3:57
556,2000,Puff Daddy,Best Friend,5:33
